recipient,amount
fishfishrD9BwrQQiAcG6YeYZVUYVJf3tb9QGQPMJqF,1528837712190824
2GUnfxZavKoPfS9s3VSEjaWDzB3vNf5RojUhprCS1rSx,2499999938665440
GGRsVQ5fm7GdawVZmBT2tY9Vsg7mw3YKDwFbofqfSmw7,78797220409802
Hsb14Gkhjbp6FinDcPRwrThS8BYsTnrhGY8Ui4f3EY7V,69238100018000
FGT49uqWPBP8GQX7iHAcLV5SuwEwMW8nNwvDTaD6vGBn,69186343428813
BM3HeTqJyYnZ8cnTFFFZUe79FzixzUL4hZNCdcQYg2it,185077619609404
8EmKFzh4AjaiLD2Bs7ieTL5MeBy4ogMXSuBvkvscwBem,69195458223818
5EhGYUyQNrxgUbuYF4vbL2SZDT6RMfhq3yjeyevvULeC,3598007051660020
c3x5MNHBLRxwjNnPLb3Cvsc4byAqRQscoxuoSFbKX6z,7940116620884
BwxhmqZRmVKfDkhb3ZvNUVdrLZXQBumMrvexoYrViAoU,72586923371472
AaapDdocMdZQaMAF1gXqKX2ixd7YYSxTpKHMcsbcF318,1557182288169700
2qHKtgFjgjpVAbVoav1TPeNiGNknnc2KJy6sVQ7V6vF8,57521416311102
ACPAr8MudRmo8nQqnSPc59im8kiBty2RAHT1sWpXfpUM,43279479371963
DwGEK1ZSC5SM9e7Tkts5hLpkUffAsFUcqeLr2zifaXZi,68581237399155
5t9Vm2BYX4ZVnQmwq6Pa4trqJLWtrNmSjE5ErC9gjtVm,69887447598604
MCFmmmXdzTKjBEoMggi8JGFJmd856uYSowuH2sCU5kx,800867799464491
EKyyFjT8QF4j9nQWvM1TKTtisAbubZAyKAp43eD2B78W,69201518342306
4oenxERWkYjZfmoTeRPRgXmMF9kkqUzgKSPjxL6gP67u,52122175168844
8WKbFye8HjNa3rBvx5jEd9gYtfLLXwXg3wzVhavvMSva,65319517893874
D96V9AW82F2BNrF3oyCPrGE3zM5mU8gyQvVtoEBwGTh4,46013599368939
92RWsU6jb7GfUs34G8xs7QLWda5MTs1ARDEh3LzkXiih,69163525378611
xenMPWy6UGzSffNmR77roHnrndzjLDf2zedw5pFcSnk,69116006638818
6h9jyRgfpmgXNyaWpbDpbxbCoF56WEbzsruhMwDn2om4,72088733394494
3L7DRu7kTxNX1X73KxUDGeKjtHEhN1fd3cfBzK9QhH6c,69834731852014
6z4iX8bdoYRtHqVbWQWttE7LuJhug6mJXvDmdZJQX9nk,1000000
HjFSnMZX3mUgEjtzrS322dFcMAtzYon3xkZbMzHe3KWs,50477017936512
5axVea5zhqy2MWCooibzJjkYMHz3cvhPdgP7pVG7Sxee,75963640702122
t6kNS3UcdxoMmer7nrGFwUMwDUH5d7r9dK49Jb9z7xG,250009131520
CuQE7wne6uCd99GUMaKTicJLh12eqmtzosF4Vs9vYSUT,52164945664040
EvnRmnMrd69kFdbLMxWkTn1icZ7DCceRhvmb2SJXqDo4,6303354345909910
8MjSgBV1s9CZvqknwraV92QrgRRew5WE71jLpZwK7YKJ,70092332824449
3YkRfGfZvThas3ChiASTJpKfUQvv3TmLpchhjX9UkeR9,69999214386324
3fNs96hxcNZHaXdP8MxSoSHzkLU7PXRbWuG1HbhjkcMz,47774861823168
87sZBKaGtRseDxuSkF7pUCERd3Hs98ESRJVipdscTCXc,69185708609523
2UUvCc7Jittv489uA6gYvaA3EFu7DiBkodMneANXpxF7,14985149537660
DufghBBjmRsxBdXathXXpxrBCmX5jvLiyNWmuLuPuH1g,69783826646931
9jQ16ZjBN1vmXn3dpRDc5eZkRPU1kUTp5MPnJuSFWb1U,69785973652785
5hyHG7SnmJAHZmM9shuq6BXxLSG2EeosMH3ZohtaewFM,69289249851565
7uYNMBRiB8jsa2Z66GcQJ79Cog9iD9zR6eWBiLv2iSSe,66781236534558
2Yy5JwNRVX1G9ZQSCkYSjaGejJ3dRruvtWS8hctCgF3i,69190688473504
EAW9vxqogvdPNapq7QTDpiVTHK6o7begUhPVnf854VTc,28300558983210
Diman2GphWLwECE3swjrAEAJniezpYLxK1edUydiDZau,734851221576439
